x,y,z,t
4573514.717982607,3155509.4358892688,3121010.645457472,5.9
4573499.445592633,3155523.376906666,3121018.8748886455,6.0
4573484.17315156,3155537.317847804,3121027.1043129954,6.1000000000000005
4573468.900659386,3155551.2587126843,3121035.3337305253,6.2
4573453.628116114,3155565.199501305,3121043.563141233,6.300000000000001
4573438.355521741,3155579.1402136665,3121051.792545118,6.4
4573423.08287627,3155593.080849768,3121060.021942182,6.5
4573407.810179701,3155607.021409611,3121068.251332423,6.6000000000000005
4573392.537432034,3155620.961893194,3121076.480715843,6.7
4573377.264633268,3155634.902300517,3121084.7100924407,6.800000000000001
4573361.991783406,3155648.8426315794,3121092.939462217,6.9
4573346.718882446,3155662.7828863813,3121101.168825171,7.0
4573331.44593039,3155676.7230649223,3121109.3981813025,7.1000000000000005
4573316.172927238,3155690.663167203,3121117.6275306134,7.2
4573300.89987299,3155704.603193222,3121125.8568731006,7.300000000000001
4573285.6267676465,3155718.54314298,3121134.0862087663,7.4
4573270.3536112085,3155732.483016476,3121142.315537611,7.5
4573255.080403676,3155746.422813711,3121150.5448596324,7.6000000000000005
4573239.80714505,3155760.3625346846,3121158.7741748327,7.7
4573224.533835328,3155774.3021793943,3121167.0034832098,7.800000000000001
4573209.260474514,3155788.241747842,3121175.2327847662,7.9
4573193.987062607,3155802.1812400273,3121183.4620795,8.0
4573178.713599607,3155816.12065595,3121191.69136741,8.1
4573163.440085515,3155830.0599956093,3121199.9206484994,8.200000000000001
4573148.16652033,3155843.9992590053,3121208.1499227663,8.3
4573132.892904055,3155857.9384461385,3121216.379190211,8.4
4573117.619236688,3155871.8775570067,3121224.6084508337,8.5
4573102.34551823,3155885.816591611,3121232.8377046343,8.6
4573087.071748683,3155899.7555499524,3121241.0669516115,8.700000000000001
4573071.7979280455,3155913.694432029,3121249.2961917683,8.8
4573056.524056318,3155927.63323784,3121257.525425101,8.9
4573041.2501335,3155941.571967387,3121265.7546516117,9.0
4573025.976159597,3155955.510620669,3121273.983871301,9.1
4573010.702134601,3155969.4491976844,3121282.2130841673,9.200000000000001
4572995.42805852,3155983.387698436,3121290.442290211,9.3
4572980.1539313495,3155997.326122921,3121298.671489433,9.4
4572964.879753094,3156011.2644711407,3121306.900681833,9.5
4572949.605523749,3156025.2027430935,3121315.1298674084,9.600000000000001
4572934.33124332,3156039.1409387807,3121323.359046163,9.700000000000001
4572919.056911803,3156053.0790582006,3121331.588218095,9.8
4572903.782529201,3156067.017101354,3121339.8173832037,9.9
4572888.508095514,3156080.9550682404,3121348.046541491,10.0
4572873.233610742,3156094.89295886,3121356.275692955,10.100000000000001
4572857.959074886,3156108.8307732115,3121364.5048375973,10.200000000000001
4572842.684487944,3156122.7685112953,3121372.7339754174,10.3
4572827.409849919,3156136.7061731117,3121380.963106413,10.4
4572812.13516081,3156150.6437586597,3121389.1922305874,10.5
4572796.86042062,3156164.5812679394,3121397.421347939,10.600000000000001
