lat,lon
32.0278343370557,34.6028551275323
32.6043254943468,34.8870180811818
31.3520995747242,34.5537056789864
30.716592234549,34.4342557822521
30.5082316081742,35.2239934776158
31.667855320575,35.153710462635
31.0136476483206,35.4295724867348
29.9482735967991,35.3113102286858
33.1339663124295,35.1269408030266
33.4195729007536,35.8686686386904
32.8131666259121,35.8631438047054
32.2440137840487,35.5408649918034
31.5923444980241,35.7788773748667
29.4816263069909,34.9044186794595
30.0963166174845,34.5693597335977
31.3562936701545,34.1091278388183
